File Path,sequence,steps,time_spent,Extra_Steps,num_R,num_T,new_sequence,Clusters
Puzzles/SelectionF15/puzzle_1/student_11,VVOIOTIFPOPEPOPTS,16,438,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_29,VVPOIFRROPIOTTEPPOSRRRS,21,218,5,5,2,VVPOIFRROPIOEPPORRR,2
Puzzles/SelectionF15/puzzle_1/student_18,VVOIOIFPOPEPOPTTS,16,104,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_27,VVTOOFPPPPIRRIRROOETS,20,108,4,4,2,VVOOFPPPPIRRIRROOE,4
Puzzles/SelectionF15/puzzle_1/student_87,IRRVViTIFOPPEPOPROOTTS,21,689,5,3,3,IRRVVIFOPPEPOPROOT,2
Puzzles/SelectionF15/puzzle_1/student_74,VVOIOIFPTOPEPTOPS,16,215,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_42,VVTOIORRTIFOPPEPOPS,18,262,2,2,2,VVOIORRIFOPPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_89,VVOIOIFOPRPEOPPTTS,17,65,1,1,2,VVOIOIFOPRPEOPP,3
Puzzles/SelectionF15/puzzle_1/student_19,VVOIOIFPOPEPOPTTS,16,103,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_102,VVRRoIOIFPOPEPOPTTSRROTS,22,171,6,4,3,VVRRIOIFPOPEPOPRROT,3
Puzzles/SelectionF15/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,109,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_28,VIOVFOIoORREPTTPPRTOSRSRRSRRSSSPS,26,488,10,8,3,VIOVFOIORREPPPRTORRRRRP,4
Puzzles/SelectionF15/puzzle_1/student_17,VVOIOIFPOPEPOPTTS,16,149,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_10,IVOTfRVRPRROIFOROPEPPTS,22,313,6,5,2,IVORVRPRROIFOROPEPP,2
Puzzles/SelectionF15/puzzle_1/student_43,VVOIOOTTIRRFPOPPEPSRSRRRRS,23,218,7,7,2,VVOIOOIRRFPOPPEPRRRRR,2
Puzzles/SelectionF15/puzzle_1/student_88,PRRPOeOOROFPPVVTTIISRESRTS,23,559,7,5,3,PRRPOOOROFPPVVIIRERT,4
Puzzles/SelectionF15/puzzle_1/student_75,VVOIOIFPOPEPOPTTS,16,135,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_72,VTVOIOIFPPORPEOPRTS,18,184,2,2,2,VVOIOIFPPORPEOPR,3
Puzzles/SelectionF15/puzzle_1/student_86,VVOIOIFOeOPPTPTPRSTSRRSRSTSRSRSTSTSRSRSRSRSRSRETSRSRSTSTS,38,965,22,14,9,VVOIOIFOOPPPPRTRRRRRTTRRRRERRT,4
Puzzles/SelectionF15/puzzle_1/student_3,IIFPPPPOOVRVTETOOS,17,159,1,1,2,IIFPPPPOOVRVEOO,4
Puzzles/SelectionF15/puzzle_1/student_2,VVOTIOTIFPOPEPOPS,16,115,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_5,VVRRIIOROFoPEPOPPTTSTOS,21,328,5,3,3,VVRRIIOROFPEPOPPTO,2
Puzzles/SelectionF15/puzzle_1/student_50,TVIVIoOOFOETRROPPRRPPSRRS,23,253,7,6,2,VIVIOOFOERROPPRRPPRR,2
Puzzles/SelectionF15/puzzle_1/student_57,TVVOITOIFPOPEPOPS,16,105,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_95,VVOOOOFPRPREPRRRPIITTS,21,134,5,5,2,VVOOOOFPRPREPRRRPII,2
Puzzles/SelectionF15/puzzle_1/student_61,VVTOTIOIFPOPEPOPS,16,117,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_59,IRVVOROPRIFROPEPOPTTS,20,127,4,4,2,IRVVOROPRIFROPEPOP,2
Puzzles/SelectionF15/puzzle_1/student_66,VVIOOIFPOPEPORRPTTS,18,161,2,2,2,VVIOOIFPOPEPORRP,1
Puzzles/SelectionF15/puzzle_1/student_111,VVTOIRROTIFOPPEPOPS,18,196,2,2,2,VVOIRROIFOPPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_58,oRRVTVOIOIFPOPEPOPTS,19,132,3,2,2,RRVVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_93,TViRIVFPOPEPRPIOOOSRRTSRRS,23,375,7,6,2,VRIVFPOPEPRPIOOORRRR,4
Puzzles/SelectionF15/puzzle_1/student_60,VVOITOIFPOPEPOPTS,16,88,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_94,VVOIOIRFOEOPPPPTTS,17,123,1,1,2,VVOIOIRFOEOPPPP,3
Puzzles/SelectionF15/puzzle_1/student_56,VVTOIOIFPOPEOPPTSRRS,18,183,2,2,2,VVOIOIFPOPEOPPRR,3
Puzzles/SelectionF15/puzzle_1/student_51,VVOIOIFTTOEOPPPPS,16,114,0,0,2,VVOIOIFOEOPPPP,3
Puzzles/SelectionF15/puzzle_1/student_34,IVORRVOEIRFPOPRPOPTTS,20,419,4,4,2,IVORRVOEIRFPOPRPOP,2
Puzzles/SelectionF15/puzzle_1/student_110,VVOIRROITTFPOPEPOPS,18,165,2,2,2,VVOIRROIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_33,VVOIOIFPOPEPOPTTS,16,98,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_77,TVVOIOROIFPOPTERRRPTPS,21,96,5,4,3,VVOIOROIFPOPERRRPTP,3
Puzzles/SelectionF15/puzzle_1/student_48,VVOIOIFPORRROEPRRPPTTS,21,364,5,5,2,VVOIOIFPORRROEPRRPP,3
Puzzles/SelectionF15/puzzle_1/student_46,VVOTIOIFPORPEOPPTS,17,147,1,1,2,VVOIOIFPORPEOPP,1
Puzzles/SelectionF15/puzzle_1/student_79,VVTOIOiFPORRPEPOITPS,19,153,3,2,2,VVOIOFPORRPEPOIP,3
Puzzles/SelectionF15/puzzle_1/student_41,VVOIOIFOPEOPPTTTSPS,17,262,1,0,3,VVOIOIFOPEOPPTP,3
Puzzles/SelectionF15/puzzle_1/student_12,VTVOTIOIFPOPEPOPS,16,105,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_100,IOROOIRRRRRRRVVRRFPRRRPREPOPRRTTS,32,214,16,16,2,IOROOIRRRRRRRVVRRFPRPREPOPR,4
Puzzles/SelectionF15/puzzle_1/student_40,VVTOIOIFPOPEPfTRRTOPSRS,21,337,5,3,3,VVOIOIFPOPEPRRTOPR,3
Puzzles/SelectionF15/puzzle_1/student_47,VVOIOIFPOPEPOPTTS,16,406,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_78,TTIIOOVVFPOPEPOPS,16,66,0,0,2,IIOOVVFPOPEPOP,2
Puzzles/SelectionF15/puzzle_1/student_85,VVOIRROITFPOPEPOfTPS,19,347,3,2,2,VVOIRROIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_76,VVOITTORTIFPRROEPROPPTS,22,185,6,4,4,VVOIORTIFPRROEPROPP,3
Puzzles/SelectionF15/puzzle_1/student_49,VVTOIOIFPOPEPOPTS,16,114,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_101,VVOIOIFPOPEPOPTTS,16,87,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_108,ORVVROIIFOEOPPRPPTTS,19,152,3,3,2,ORVVROIIFOEOPPRPP,2
Puzzles/SelectionF15/puzzle_1/student_13,VVOIOIFOEOPRPPTTPS,17,147,1,1,2,VVOIOIFOEOPRPPP,3
Puzzles/SelectionF15/puzzle_1/student_14,VVOIOIFOPPEOPPTTSRSRS,18,114,2,2,2,VVOIOIFOPPEOPPRR,3
Puzzles/SelectionF15/puzzle_1/student_9,VVOIIOFPOPEPOPRTTS,17,342,1,1,2,VVOIIOFPOPEPOPR,1
Puzzles/SelectionF15/puzzle_1/student_6,VRVORRIOIFPOPEPOPTTS,19,142,3,3,2,VRVORRIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_1,TVVOIIOFRROTEOPRPPPRRS,21,163,5,5,2,VVOIIOFRROEOPRPPPRR,2
Puzzles/SelectionF15/puzzle_1/student_8,VVoIOTOIFOOEPPPPTS,17,301,1,0,2,VVIOOIFOOEPPPP,2
Puzzles/SelectionF15/puzzle_1/student_112,TVRRVOOIIRFPiTOPEPOPS,20,159,4,3,2,VRRVOOIIRFPOPEPOP,3
Puzzles/SelectionF15/puzzle_1/student_36,VVOIOIFPOPEPOPTTS,16,845,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_38,VVOOITTIFPOPEPOPS,16,128,0,0,2,VVOOIIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_65,VVTFIIOOOEROPPPPTSRS,18,100,2,2,2,VVFIIOOOEROPPPPR,2
Puzzles/SelectionF15/puzzle_1/student_91,TVVFOPEOPTIRRTOIROPSRSPS,21,141,5,4,3,VVFOPEOPIRRTOIROPRP,4
Puzzles/SelectionF15/puzzle_1/student_96,VVOITOIFOPPPEOTPSTRSTSRRRRRS,24,281,8,6,4,VVOIOIFOPPPEOPTRRRRRR,2
Puzzles/SelectionF15/puzzle_1/student_62,VVOOTITIFPOPEPOPS,16,80,0,0,2,VVOOIIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_39,VVROOIRIFPOPEPOPRTTS,19,92,3,3,2,VVROOIRIFPOPEPOPR,3
Puzzles/SelectionF15/puzzle_1/student_114,VVOIOITFPOTPEPOPS,16,81,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_30,VVOTIOIfPOPEPTFOPSRRS,19,169,3,2,2,VVOIOIPOPEPFOPRR,3
Puzzles/SelectionF15/puzzle_1/student_37,VVTORRIOIFPOPEPOPTS,18,294,2,2,2,VVORRIOIFPOPEPOP,1
Puzzles/SelectionF15/puzzle_1/student_113,VVOOiTIIRRRRRRFPROOPEPRPTS,25,163,9,8,2,VVOOIIRRRRRRFPROOPEPRP,2
Puzzles/SelectionF15/puzzle_1/student_63,VVRRROEOFPROROIITTTPPRPRRRS,26,221,10,9,3,VVRRROEOFPROROIITPPRPRRR,4
Puzzles/SelectionF15/puzzle_1/student_97,VVIIFPOOOEOPTTTPRPRRS,20,938,4,3,3,VVIIFPOOOEOPTPRPRR,2
Puzzles/SelectionF15/puzzle_1/student_90,TTVVOORRIIOOFPRREPPPSRRSRRRRRRRRRRRSRRRRSRS,38,528,22,22,2,VVOORRIIOOFPRREPPPRRRRRRRRR,4
Puzzles/SelectionF15/puzzle_1/student_64,VVOOIIfORFTPPEPOPTS,18,110,2,1,2,VVOOIIORFPPEPOP,3
Puzzles/SelectionF15/puzzle_1/student_52,TTOOVVIIFOPPEOPPS,16,103,0,0,2,OOVVIIFOPPEOPP,2
Puzzles/SelectionF15/puzzle_1/student_55,VVOIOIFPOPRRRePOREPTTS,21,159,5,4,2,VVOIOIFPOPRRRPOREP,3
Puzzles/SelectionS16/puzzle_1/student_135,VTVTOOIIFPOPEPOPS,16,89,0,0,2,VVOOIIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_11,VVTOITOIPFOPPEOPSRRRRS,20,143,4,4,2,VVOIOIPFOPPEOPRRRR,3
Puzzles/SelectionS16/puzzle_1/student_29,VVTOIOiFPOPPEROPTSITS,19,196,3,1,3,VVOIOFPOPPEROPIT,3
Puzzles/SelectionS16/puzzle_1/student_16,OROTiVTRVIIFPOPEPOPS,19,77,3,2,2,OROVRVIIFPOPEPOP,2
Puzzles/SelectionS16/puzzle_1/student_132,TRVVRRRRIIOoTFPOPEPOPTSRSRSRSRRRRRSTOSRRRRRRRRRRS,42,472,26,23,4,RVVRRRRIIOFPOPEPOPTRRRRRRORR,4
Puzzles/SelectionS16/puzzle_1/student_20,VVIIFPOOOPEPORPTTSRRRRS,21,176,5,5,2,VVIIFPOOOPEPORPRRRR,2
Puzzles/SelectionS16/puzzle_1/student_104,VVTTOIOIFPOPEPOPS,16,287,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_18,VTVPIIFOEPOPPRROTOS,18,347,2,2,2,VVPIIFOEPOPPRROO,2
Puzzles/SelectionS16/puzzle_1/student_103,VVOIOIFPOPTEPOPTS,16,111,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_27,VVIIFPOPEPOPTTTTSSRiTSTOROS,23,394,7,2,6,VVIIFPOPEPOPTRTTORO,2
Puzzles/SelectionS16/puzzle_1/student_87,TTVVOIOIFPOPEOPPRRRS,19,138,3,3,2,VVOIOIFPOPEOPPRRR,3
Puzzles/SelectionS16/puzzle_1/student_73,VVIIFPOPEOTPTTTTSRRROOSPSRS,23,258,7,4,5,VVIIFPOPEOPTTRRROOPR,2
Puzzles/SelectionS16/puzzle_1/student_168,VVOIOIFPOPEPOPTTS,16,223,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_74,VVIIFPOOOPEPORPTTS,17,140,1,1,2,VVIIFPOOOPEPORP,3
Puzzles/SelectionS16/puzzle_1/student_150,VVIOOIFPOPEPOTTTSRPS,18,251,2,1,3,VVIOOIFPOPEPOTRP,1
Puzzles/SelectionS16/puzzle_1/student_42,VVOIOITFPOPEfRPOPRRSTS,20,172,4,3,2,VVOIOIFPOPERPOPRR,3
Puzzles/SelectionS16/puzzle_1/student_89,ORRVVIOIFPOPEPOPRRTTS,20,168,4,4,2,ORRVVIOIFPOPEPOPRR,3
Puzzles/SelectionS16/puzzle_1/student_161,VVOIOIFPOPPEOPTTS,16,270,0,0,2,VVOIOIFPOPPEOP,1
Puzzles/SelectionS16/puzzle_1/student_195,VVOOIFPOPEPOPTITS,16,161,0,0,2,VVOOIFPOPEPOPI,1
Puzzles/SelectionS16/puzzle_1/student_45,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOIOIFPOPEOPPT,1
Puzzles/SelectionS16/puzzle_1/student_19,VVIOIOFPOPEPOPTTS,16,88,0,0,2,VVIOIOFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_26,VVOIOIFPOPEPOPTTS,16,114,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_102,VTVITIFPOPOOEPOPTS,17,279,1,0,3,VVIIFPOPOOEPOPT,3
Puzzles/SelectionS16/puzzle_1/student_105,VVOIOIFPOPEPOPTTS,16,100,0,0,2,VVOIOIFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_21,VVOIOIRFPOPERPOPTTS,18,107,2,2,2,VVOIOIRFPOPERPOP,1
Puzzles/SelectionS16/puzzle_1/student_28,VVTOIOiFPOPPEROPTSITS,19,196,3,1,3,VVOIOFPOPPEROPIT,3
Puzzles/SelectionS16/puzzle_1/student_133,VVROIROIRFPOPEPOPTTS,19,123,3,3,2,VVROIROIRFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_17,VVIOTIOFPOTPEPOPS,16,116,0,0,2,VVIOIOFPOPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_10,VVOIOIFPOPRREPOPTTS,18,326,2,2,2,VVOIOIFPOPRREPOP,1
Puzzles/SelectionS16/puzzle_1/student_134,VvRIITFPOPERPOPOOTSVRTS,21,398,5,3,3,VRIIFPOPERPOPOOVRT,2
Puzzles/SelectionS16/puzzle_1/student_44,VVOITOITFPOPEOPPTSTS,18,125,2,0,4,VVOIOIFPOPEOPPT,1
Puzzles/SelectionS16/puzzle_1/student_194,VVIOIOFPOEOPPPTTS,16,102,0,0,2,VVIOIOFPOEOPPP,3
Puzzles/SelectionS16/puzzle_1/student_160,VVOIOIFOPPEPOPTTS,16,560,0,0,2,VVOIOIFOPPEPOP,1
Puzzles/SelectionS16/puzzle_1/student_167,VVOIORRIFOEOPPPPTTSRS,19,282,3,3,2,VVOIORRIFOEOPPPPR,3
Puzzles/SelectionS16/puzzle_1/student_193,VVIIFOOOPEOPPPTTS,16,97,0,0,2,VVIIFOOOPEOPPP,2
Puzzles/SelectionS16/puzzle_1/student_43,VVTOTIOIFPOPREPOPRTRS,20,124,4,3,3,VVOIOIFPOPREPOPRTR,3
Puzzles/SelectionS16/puzzle_1/student_88,VVOOIOiOfPRRPEPRRPRRRTTSTISTFS,27,953,11,7,4,VVOOIOOPRRPEPRRPRRRTIF,2
Puzzles/SelectionS16/puzzle_1/student_158,VVOIOIFOEOPPPPTTSTSTSTSTS,20,144,4,0,6,VVOIOIFOEOPPPPTTT,3
Puzzles/SelectionS16/puzzle_1/student_81,IRERIRRRVVFPOPRTPOPTOOS,22,325,6,6,2,IRERIRRRVVFPOPRPOPOO,4
Puzzles/SelectionS16/puzzle_1/student_75,VRVORIIFOOEPRPRoORTPRRRPSTSRSRSRRSSSSSSSSSSSSSRS,30,220,14,13,2,VRVORIIFOOEPRPRORPRRRPRRR,2
Puzzles/SelectionS16/puzzle_1/student_72,TVTVIIOOFPOPEPOPSRSRS,18,84,2,2,2,VVIIOOFPOPEPOPRR,3
Puzzles/SelectionS16/puzzle_1/student_86,VRTTTVIOOIFPORRRPPEOPS,21,142,5,4,3,VRTVIOOIFPORRRPPEOP,2
Puzzles/SelectionS16/puzzle_1/student_156,VVOIOIFPOPEOPTTTSPS,17,314,1,0,3,VVOIOIFPOPEOPTP,1
Puzzles/SelectionS16/puzzle_1/student_169,VRRVIIFPOOvRRTORPREPOPTS,23,223,7,6,2,VRRVIIFPOORRORPREPOP,2
Puzzles/SelectionS16/puzzle_1/student_4,VVTIOOIRFRPOPEPTOPSRS,19,109,3,3,2,VVIOOIRFRPOPEPOPR,3
Puzzles/SelectionS16/puzzle_1/student_203,VVIIFOEOOOPPPPTTS,16,184,0,0,2,VVIIFOEOOOPPPP,2
Puzzles/SelectionS16/puzzle_1/student_3,VIVTIFPOPEPOPTOOS,16,161,0,0,2,VIVIFPOPEPOPOO,2
Puzzles/SelectionS16/puzzle_1/student_2,VVOOIITFPPOEOPRTPSRS,18,142,2,2,2,VVOOIIFPPOEOPRPR,3
